,1 полугодие 2017 г.,1 полугодие 2018 г.,Динамика по сравнению с аналогичным показателем    2017г.   (+/- %)
Российская Федерация,55755534.8,60475445.5,8.4653671010972
    Приволжский федеральный округ,9106457.1,10781553.9,18.3946048568109
        Республика Башкортостан,1 231 958,1 147 962,-6.81808957772911
        Республика Марий Эл,77780.4,128887.6,65.7070418768739
        Республика Мордовия,182083.5,196166.4,7.73430871001492
        Республика Татарстан,1064196.8,1407110.7,32.222789995234
        Удмуртская Республика,179702.1,188190.9,4.72381791865538
        Чувашская Республика,404381.2,447714.9,10.7160520815508
        Пермский край,588563.4,1 435 769,143.94466254612
        Кировская область,280210.8,314971.9,12.4053391232601
        Нижегородская область,2869804.2,3241117.4,12.9386248720383
        Оренбургская область,145981.8,132 814,-9.02016552748356
        Пензенская область,385794.2,366825.2,-4.91687018622884
        Самарская область,781462.6,912480.1,16.765677589688
        Саратовская область,438 779,471546.2,7.46781409319954
        Ульяновская область,475759.1,389997.6,-18.0262447948972
