Неделя,Москва Нижний Новгород ржд,Москва Нижний Новгород автобус,Москва Нижний Новгород маршрут,Москва Нижний самолет: (Россия)
2019-04-07,39,26,0,26
2019-04-14,13,52,0,0
2019-04-21,54,54,0,54
2019-04-28,58,29,0,43
2019-05-05,28,0,0,14
2019-05-12,40,40,0,26
2019-05-19,26,0,0,13
2019-05-26,27,68,0,0
2019-06-02,27,14,0,14
2019-06-09,41,41,0,27
2019-06-16,14,42,0,14
2019-06-23,14,56,0,42
2019-06-30,28,85,0,43
2019-07-07,71,43,0,57
2019-07-14,58,29,0,29
2019-07-21,43,100,0,14
2019-07-28,57,57,0,57
2019-08-04,14,57,0,14
2019-08-11,56,42,0,42
2019-08-18,42,56,0,0
2019-08-25,0,14,0,0
2019-09-01,14,81,0,41
2019-09-08,26,13,0,26
2019-09-15,13,76,0,0
2019-09-22,0,50,0,25
2019-09-29,38,13,0,38
2019-10-06,38,13,0,25
2019-10-13,62,25,0,12
2019-10-20,25,25,0,38
2019-10-27,25,0,0,25
2019-11-03,38,25,0,13
2019-11-10,24,12,0,0
2019-11-17,0,36,0,24
2019-11-24,12,37,0,0
2019-12-01,61,37,0,49
2019-12-08,25,25,0,37
2019-12-15,25,12,0,25
2019-12-22,26,13,0,13
2019-12-29,0,15,0,29
2020-01-05,27,93,0,13
2020-01-12,0,0,0,12
2020-01-19,59,47,0,47
2020-01-26,59,23,0,47
2020-02-02,24,0,0,12
2020-02-09,47,47,0,12
2020-02-16,0,47,0,12
2020-02-23,12,0,0,12
2020-03-01,36,12,0,12
2020-03-08,23,12,0,23
2020-03-15,0,46,0,0
2020-03-22,0,23,0,34
2020-03-29,11,11,0,0
